[28-Jul-2018 15:05:57 Asia/Taipei] PHP Notice:  Undefined index: inputBirth in D:\TWAMP\htdocs\final\modify.php on line 15
[28-Jul-2018 15:05:57 Asia/Taipei] PHP Notice:  Undefined index: inputSex in D:\TWAMP\htdocs\final\modify.php on line 16
[28-Jul-2018 15:05:57 Asia/Taipei] PHP Notice:  Undefined variable: conn in D:\TWAMP\htdocs\final\modify.php on line 18
[28-Jul-2018 15:05:57 Asia/Taipei] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in D:\TWAMP\htdocs\final\modify.php on line 18
[28-Jul-2018 15:05:57 Asia/Taipei] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in D:\TWAMP\htdocs\final\modify.php on line 19
[28-Jul-2018 15:05:57 Asia/Taipei] PHP Notice:  Undefined variable: conn in D:\TWAMP\htdocs\final\modify.php on line 21
[28-Jul-2018 15:05:57 Asia/Taipei] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in D:\TWAMP\htdocs\final\modify.php on line 21
[28-Jul-2018 15:05:59 Asia/Taipei] PHP Notice:  Undefined index: inputName in D:\TWAMP\htdocs\final\modify.php on line 12
[28-Jul-2018 15:05:59 Asia/Taipei] PHP Notice:  Undefined index: inputEmail in D:\TWAMP\htdocs\final\modify.php on line 13
[28-Jul-2018 15:05:59 Asia/Taipei] PHP Notice:  Undefined index: inputPassword in D:\TWAMP\htdocs\final\modify.php on line 14
[28-Jul-2018 15:05:59 Asia/Taipei] PHP Notice:  Undefined index: inputBirth in D:\TWAMP\htdocs\final\modify.php on line 15
[28-Jul-2018 15:05:59 Asia/Taipei] PHP Notice:  Undefined index: inputSex in D:\TWAMP\htdocs\final\modify.php on line 16
[28-Jul-2018 15:05:59 Asia/Taipei] PHP Notice:  Undefined variable: conn in D:\TWAMP\htdocs\final\modify.php on line 18
[28-Jul-2018 15:05:59 Asia/Taipei] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in D:\TWAMP\htdocs\final\modify.php on line 18
[28-Jul-2018 15:05:59 Asia/Taipei] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in D:\TWAMP\htdocs\final\modify.php on line 19
[28-Jul-2018 15:05:59 Asia/Taipei] PHP Notice:  Undefined variable: conn in D:\TWAMP\htdocs\final\modify.php on line 21
[28-Jul-2018 15:05:59 Asia/Taipei] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in D:\TWAMP\htdocs\final\modify.php on line 21
[28-Jul-2018 15:06:01 Asia/Taipei] PHP Notice:  Undefined index: inputName in D:\TWAMP\htdocs\final\modify.php on line 12
[28-Jul-2018 15:06:01 Asia/Taipei] PHP Notice:  Undefined index: inputEmail in D:\TWAMP\htdocs\final\modify.php on line 13
[28-Jul-2018 15:06:01 Asia/Taipei] PHP Notice:  Undefined index: inputPassword in D:\TWAMP\htdocs\final\modify.php on line 14
[28-Jul-2018 15:06:01 Asia/Taipei] PHP Notice:  Undefined index: inputBirth in D:\TWAMP\htdocs\final\modify.php on line 15
[28-Jul-2018 15:06:01 Asia/Taipei] PHP Notice:  Undefined index: inputSex in D:\TWAMP\htdocs\final\modify.php on line 16
